discountoffer,total_products,avg_rating,total_reviews
"Rs. 6900 OFF",4,1.2,45
"Rs. 2950 OFF",4,1.95,65
"Rs. 802 OFF",4,3.05,55
"Rs. 225 OFF",4,2.2,41
"Rs. 1269 OFF",4,2.68,64
"Rs. 949 OFF",4,2.08,32
"Rs. 881 OFF",4,3.12,42
"Rs. 305 OFF",4,2.9,50
"Rs. 1081 OFF",4,3.42,53
"Rs. 3240 OFF",4,2.2,27
"Rs. 2850 OFF",4,1,18
"Rs. 919 OFF",4,2.25,26
"Rs. 712 OFF",4,1.02,16
"Rs. 969 OFF",4,4.03,40
"Rs. 1009 OFF",4,2.28,19
"Rs. 1085 OFF",4,3.78,37
"Rs. 6301 OFF",4,2.15,21
"Rs. 870 OFF",4,0.95,14
"Rs. 1599 OFF",4,1.12,13
"Rs. 6100 OFF",4,0.75,13
"Rs. 346 OFF",4,3.37,26
"Rs. 819 OFF",4,2.1,16
"Rs. 1194 OFF",4,3.05,20
"Rs. 1319 OFF",4,2.82,23
"Rs. 2110 OFF",4,1.18,10
"Rs. 813 OFF",4,1.98,16
"Rs. 1267 OFF",4,2.95,21
"Rs. 2170 OFF",4,2.22,18
"Rs. 2210 OFF",4,3.6,25
"Rs. 8001 OFF",4,1.02,9
"Rs. 1990 OFF",4,4.3,23
"Rs. 5100 OFF",4,2.28,14
"Rs. 1459 OFF",4,2,13
"Rs. 1799 OFF",4,2.77,14
"Rs. 1696 OFF",4,0.9,7
"Rs. 1130 OFF",4,1.8,12
"Rs. 820 OFF",4,1.25,6
"Rs. 389 OFF",4,3.48,17
"Rs. 3060 OFF",4,0.7,6
"Rs. 589 OFF",4,4.35,6
"Rs. 1134 OFF",4,3.53,20
"Rs. 3550 OFF",4,1.12,6
"Rs. 1560 OFF",4,1.98,8
"Rs. 1671 OFF",4,1.88,7
"Rs. 15100 OFF",4,0.7,5
"Rs. 2010 OFF",4,1.2,4
"Rs. 1001 OFF",4,2.8,3
"Rs. 1229 OFF",4,0.92,3
"Rs. 3140 OFF",4,2.17,5
"Rs. 774 OFF",4,1.12,2
"Rs. 1974 OFF",4,2.25,4
"Rs. 3450 OFF",4,0,0
"Rs. 1413 OFF",4,0,0
"Rs. 1568 OFF",4,0,0
"Rs. 1255 OFF",4,0,0
"Rs. 323 OFF",4,0,0
"Rs. 1558 OFF",4,0,0
"Rs. 1446 OFF",4,0,0
"Rs. 5400 OFF",4,0,0
"Rs. 236 OFF",4,0,0
"Rs. 398 OFF",4,0,0
"Rs. 956 OFF",4,0,0
"Rs. 1019 OFF",4,0,0
"Rs. 1098 OFF",4,0,0
"Rs. 1421 OFF",4,0,0
"Rs. 2241 OFF",4,0,0
"Rs. 3260 OFF",4,0,0
"Rs. 9500 OFF",4,0,0
"Rs. 8500 OFF",4,0,0
"Rs. 14592 OFF",4,0,0
"Rs. 1309 OFF",4,0,0
"Rs. 1580 OFF",4,0,0
"Rs. 1924 OFF",4,0,0
"Rs. 3049 OFF",4,0,0
"Rs. 3301 OFF",4,0,0
"Rs. 3850 OFF",4,0,0
